portfolio,split_date,n_train,n_test,OOS_R2_regime_vs_hist_mean,MSFE_adj_stat,MSFE_adj_pvalue,MSFE_sig_10pct,MSFE_sig_5pct,OOS_R2_static_vs_hist_mean,incremental_OOS_R2_regime_vs_static,delta_mse,delta_mae,mse_regime,mse_static,mse_hist_mean
Lo 30,1995-01-01,816,371,0.007498543015732828,1.9141479845173173,0.027800624900635174,True,True,0.0008006464252723333,0.006703263534446946,-2.66774913699145e-05,7.31058485748462e-05,0.003953099110403739,0.0039797766017736535,0.003982965548902365
Med 40,1995-01-01,816,371,0.0027227754506824464,1.4085618173010428,0.07948238795446028,True,False,0.0009740433645626378,0.001750437087750134,-5.285486760387911e-06,0.00012005204921897161,0.0030142384923512195,0.0030195239791116074,0.003022467994005772
Hi 30,1995-01-01,816,371,0.0009238751979204762,0.9760942631834436,0.16450887700183958,False,False,0.00042862264315290943,0.0004954649222522756,-9.498410865488045e-07,-4.4523601521975764e-05,0.0019161204577171152,0.001917070298803664,0.0019178923508923861
Lo 20,1995-01-01,816,371,0.010154505866909025,2.1508511190849706,0.015743976380124258,True,True,0.000664060649163356,0.009496751636802525,-3.960938680916404e-05,2.4037026191497946e-05,0.004131225897085875,0.004170835283895039,0.004173606811943931
Qnt 2,1995-01-01,816,371,0.005068312394497565,1.7417643095071331,0.04077484713658608,True,True,0.0007773819128910064,0.004294268768476273,-1.5983181009407346e-05,0.00013922883533318275,0.0037059964786565385,0.003721979659665946,0.003724875310359994
Qnt 3,1995-01-01,816,371,0.0030209045649839394,1.6333713810453552,0.05119545616452892,True,False,0.0008364804478796506,0.0021862528748882726,-6.789953225787033e-06,0.00012862881052559672,0.003098959296450625,0.003105749249676412,0.003108349323110374
Qnt 4,1995-01-01,816,371,0.0014516986671506693,1.1246076818381454,0.1303776585370956,False,False,0.0009380517976735891,0.0005141291492497535,-1.3656480973298427e-06,7.36943026228426e-05,0.0026548698509453526,0.0026562354990426825,0.0026587295250531866
Hi 20,1995-01-01,816,371,0.0010640493567048992,1.0179898599909964,0.15434138747638637,False,False,0.00034041265466455695,0.0007238831210152341,-1.3733085013022377e-06,-6.002257078362855e-05,0.0018957679031576357,0.001897141211658938,0.0018977872424521297
Lo 10,1995-01-01,816,371,0.014642417544525554,2.518056886230001,0.005900213032812407,True,True,-0.00032994538048658484,0.014967424492443149,-6.028213011860777e-05,-9.376858418569389e-05,0.003967273188369451,0.004027555318488058,0.0040262268835270475
2-Dec,1995-01-01,816,371,0.007716228123063051,1.9121169714084456,0.027930596245342665,True,True,0.0009267523078656525,0.00679577381426355,-3.048496872055332e-05,3.727330353522906e-05,0.004455386626441865,0.004485871595162418,0.004490032743369728
3-Dec,1995-01-01,816,371,0.004903050757928962,1.6249557709899234,0.05208599166669048,True,False,0.0008700962336475326,0.004036466638701053,-1.571576671707776e-05,0.00014531286346686906,0.0038777306862765606,0.0038934464529936383,0.0038968370762568275
4-Dec,1995-01-01,816,371,0.00514934092378172,1.8299886372239276,0.03362581898075856,True,True,0.0006916014654246849,0.0044608245711674765,-1.6306742534046188e-05,0.00018134131195834957,0.0036392377143013225,0.0036555444568353687,0.003658074386441664
5-Dec,1995-01-01,816,371,0.003201519861000479,1.4516972975107882,0.0732928955447536,True,False,0.000922000751904406,0.0022816227670028333,-7.886061019188751e-06,0.00015303421040287202,0.003448452617415314,0.003456338678434503,0.003459528366189364
6-Dec,1995-01-01,816,371,0.0027601357372801782,1.7781642728901021,0.037688439416532216,True,True,0.0007749652204980251,0.001986710148050075,-5.799826014500631e-06,6.0403415077958655e-05,0.002913511790827609,0.0029193116168421095,0.0029215757364268913
7-Dec,1995-01-01,816,371,0.001457126362182981,0.8876897480603333,0.18735383101607395,False,False,0.0009130026780378442,0.0005446209245076883,-1.532783370765227e-06,9.242276313958103e-05,0.0028128713311069914,0.0028144041144777567,0.0028169760211290158
8-Dec,1995-01-01,816,371,0.0013681923612274272,1.3790318023077728,0.0839424743874273,True,False,0.0009517387457010917,0.0004168503481537522,-1.0895660453617492e-06,4.331838502943941e-05,0.002612716684056971,0.0026138062501023327,0.002616296280642854
9-Dec,1995-01-01,816,371,0.0006550786814457643,0.8411236095721221,0.2001393449427078,False,False,0.0007187548100516805,-6.372192904890994e-05,1.3849428422618368e-07,1.0319552408176447e-05,0.0021735548721848836,0.0021734163779006574,0.0021749796549894456
Hi 10,1995-01-01,816,371,0.0012872076736344384,1.0536426417956608,0.146023279280308,False,False,0.00026270928251970194,0.0010247676070774814,-1.9487014250158235e-06,-7.170380692402001e-05,0.0018996545611656987,0.0019016032625907146,0.001902102962695323
Lo 30,2000-01-01,876,311,0.006105337203890837,1.699055136179361,0.04465439772348767,True,True,0.0006118770510605831,0.005496823533003847,-2.2874250125340563e-05,6.109040684140754e-06,0.004138483666496794,0.004161357916622134,0.004163905714971905
Med 40,2000-01-01,876,311,0.00250766849972639,1.506887234694505,0.06591978201526605,True,False,0.000751806838297786,0.001757182723416184,-5.505995715471713e-06,0.00010933191528859909,0.0031279164094213164,0.003133422405136788,0.0031357799059134506
Hi 30,2000-01-01,876,311,0.000630462591500458,0.42741247973302365,0.33453945960985376,False,False,0.0008763262699571506,-0.00024607932423292844,4.778432053111591e-07,-3.174383220824056e-05,0.0019423037434532768,0.0019418259002479657,0.0019435290658247732
Lo 20,2000-01-01,876,311,0.008298521234169076,1.9561038836222508,0.025226458881391967,True,True,0.00040943943391091864,0.007892313224517,-3.45662094101834e-05,-9.149307295041459e-05,0.0043451648563571236,0.004379731065767307,0.004381525034897262
Qnt 2,2000-01-01,876,311,0.004135792741939426,1.5224350874954704,0.06395004934885318,True,False,0.0006057652169043637,0.003532167189058466,-1.3604908905429178e-05,0.00012486136452728724,0.0038381122316571378,0.003851717140562567,0.0038540517910817525
Qnt 3,2000-01-01,876,311,0.00272925630718146,1.6209170683835012,0.05251771288348728,True,False,0.0006355111285795134,0.0020950766231111473,-6.710921587239297e-06,0.00011090066574197255,0.003196475784431099,0.003203186706018338,0.0032052236613246965
Qnt 4,2000-01-01,876,311,0.0015834292882487278,1.843950491493753,0.03259517783722188,True,True,0.0009384031521708636,0.0006456319991809956,-1.7844158083893565e-06,6.04161432063155e-05,0.0027620436017820283,0.0027638280175904177,0.002766424038628508
Hi 20,2000-01-01,876,311,0.0005587442246237639,0.4059217970973262,0.3424000309029508,False,False,0.0008662838879507362,-0.000307806310974712,5.888916679421072e-07,-4.1381711694279955e-05,0.0019137779555219755,0.0019131890638540334,0.001914847865707973
Lo 10,2000-01-01,876,311,0.011464719062064033,2.252445537346985,0.012147065388824818,True,True,-0.0002775542150650345,0.0117390150640172,-4.9652461212435287e-05,-0.00010206746280649187,0.004180043211010646,0.004229695672223081,0.004228522028110684
2-Dec,2000-01-01,876,311,0.006796457337657658,1.8369117824979044,0.033111459802576015,True,True,0.0006150401386705306,0.006185221358389059,-2.9014975206342712e-05,-6.506996926312208e-05,0.004662001485666074,0.004691016460872417,0.004693903399870379
3-Dec,2000-01-01,876,311,0.003934511386082473,1.3766526955176406,0.08430982525919917,True,False,0.0007605696252950267,0.003176357601898605,-1.281939504983471e-05,0.00011795272971964338,0.004023059638901616,0.004035879033951451,0.004038950937352458
4-Dec,2000-01-01,876,311,0.004227312159572505,1.6417056529736225,0.05032550978563244,True,False,0.0004609458512425668,0.003768103199866868,-1.4239344449704962e-05,0.0001524139686165174,0.0037646763843466637,0.0037789157287963686,0.0037806584076043193
5-Dec,2000-01-01,876,311,0.00287314512380632,1.457631945393903,0.07247100970811005,True,False,0.0006402001556485848,0.002234375415646528,-7.962446788128442e-06,0.00011938893136242967,0.0035556494388288827,0.003563611885617011,0.0035658947720050753
6-Dec,2000-01-01,876,311,0.0025476384699905097,1.7351870741850814,0.04135383760692524,True,True,0.0006651786627591694,0.001883712812801308,-5.6653528246364444e-06,7.078412685938146e-05,0.003001880588433509,0.0030075459412581456,0.003009547828258056
7-Dec,2000-01-01,876,311,0.0017578133382696315,1.3708066133666936,0.08521762440260217,True,False,0.0009120982498528329,0.0008464871678811603,-2.4878000464568367e-06,8.222930091558722e-05,0.0029364817919961005,0.0029389695920425574,0.0029416526682929825
8-Dec,2000-01-01,876,311,0.001430910248034989,2.1269672381068556,0.016711402702986433,True,True,0.0009593024361178593,0.00047206066085914156,-1.2799305982909986e-06,4.235785852558377e-05,0.0027100889768670792,0.0027113689074653702,0.0027139724278269412
9-Dec,2000-01-01,876,311,0.0010092830366692507,1.1834869272263704,0.11830811224269178,False,False,0.0009598139618687274,4.9516601525967374e-05,-1.1090150147481312e-07,5.73883776532752e-06,0.0022395723169976334,0.0022396832184991083,0.002241834962996798
