portfolio,split_date,n_train,n_test,OOS_R2_regime_vs_hist_mean,MSFE_adj_stat,MSFE_adj_pvalue,MSFE_sig_10pct,MSFE_sig_5pct,OOS_R2_static_vs_hist_mean,incremental_OOS_R2_regime_vs_static,delta_mse,delta_mae,mse_regime,mse_static,mse_hist_mean
Lo 30,1995-01-01,816,371,-0.00017082547402980097,0.3919764278765629,0.34753781539527107,False,False,0.0008006464252723333,-0.0009722503280518158,3.869339106647371e-06,8.151870910386161e-05,0.003983645940880301,0.0039797766017736535,0.003982965548902365
Med 40,1995-01-01,816,371,-2.9631902912052865e-05,0.22656830143604337,0.4103797215519771,False,False,0.0009740433645626378,-0.0010046538438852615,3.0335763723178706e-06,3.8715444946074706e-05,0.0030225575554839253,0.0030195239791116074,0.003022467994005772
Hi 30,1995-01-01,816,371,0.0005940566834991001,0.503365107245117,0.30735379951079267,False,False,0.00042862264315290943,0.00016550497952805276,-3.1728468055723484e-07,-1.057067191014699e-05,0.0019167530141231068,0.001917070298803664,0.0019178923508923861
Lo 20,1995-01-01,816,371,0.00107730051238486,0.643581085925482,0.25992355922915855,False,False,0.000664060649163356,0.0004135144619034081,-1.7247007081076793e-06,7.172365207776255e-05,0.004169110583186931,0.004170835283895039,0.004173606811943931
Qnt 2,1995-01-01,816,371,-0.0015234449660264104,-0.010199188266720656,0.504068816883191,False,False,0.0007773819128910064,-0.0023026168916413514,8.570293234692015e-06,8.855064616974245e-05,0.003730549952900638,0.003721979659665946,0.003724875310359994
Qnt 3,1995-01-01,816,371,-0.0009492442482463836,-0.08530551132418872,0.5339907449481123,False,False,0.0008364804478796506,-0.0017872196704362686,5.55065615046469e-06,6.0374780111650816e-05,0.0031112999058268767,0.003105749249676412,0.003108349323110374
Qnt 4,1995-01-01,816,371,0.0009917904443870196,0.8748160167192199,0.19083701045254509,False,False,0.0009380517976735891,5.378910367870304e-05,-1.428765266531934e-07,2.191372569528699e-05,0.0026560926225160293,0.0026562354990426825,0.0026587295250531866
Hi 20,1995-01-01,816,371,0.0005589447764803301,0.4463856439025512,0.327659350545225,False,False,0.00034041265466455695,0.00021860653824767873,-4.147274728478166e-07,-5.7213415360218844e-06,0.0018967264841860901,0.001897141211658938,0.0018977872424521297
Lo 10,1995-01-01,816,371,0.0005462811194373307,0.6365141750244581,0.26222067243706904,False,False,-0.00032994538048658484,0.0008759374883960946,-3.5278866900526756e-06,0.00015058184618271103,0.004024027431798006,0.004027555318488058,0.0040262268835270475
2-Dec,1995-01-01,816,371,0.0011116206858559075,0.6189045689968635,0.2679896141941972,False,False,0.0009267523078656525,0.00018503986411144702,-8.300650703903234e-07,0.00012133235131353559,0.004485041530092028,0.004485871595162418,0.004490032743369728
3-Dec,1995-01-01,816,371,-0.001685934704672265,-0.01079449558455604,0.5043062970550203,False,False,0.0008700962336475326,-0.0025582568679853868,9.960436128504235e-06,0.00011623614971409402,0.0039034068891221426,0.0038934464529936383,0.0038968370762568275
4-Dec,1995-01-01,816,371,-0.001429423654502937,-0.015791105533676488,0.5062994778453126,False,False,0.0006916014654246849,-0.0021224930392238495,7.758867664206179e-06,9.50740109024531e-05,0.003663303324499575,0.0036555444568353687,0.003658074386441664
5-Dec,1995-01-01,816,371,-0.0007089302308675993,0.06495334130342047,0.4741055750022627,False,False,0.000922000751904406,-0.0016324360900745738,5.642251998196762e-06,6.383830555833914e-05,0.0034619809304326996,0.003456338678434503,0.003459528366189364
6-Dec,1995-01-01,816,371,-0.0010205798621707451,-0.18391230445118492,0.5729588740486442,False,False,0.0007749652204980251,-0.0017969376468485176,5.245820947185741e-06,5.8017842251005536e-05,0.002924557437789295,0.0029193116168421095,0.0029215757364268913
7-Dec,1995-01-01,816,371,0.0010557392348615746,0.7359310877483899,0.23088631847424113,False,False,0.0009130026780378442,0.00014286699477261688,-4.020854579111881e-07,9.990482290611613e-07,0.0028140020290198455,0.0028144041144777567,0.0028169760211290158
8-Dec,1995-01-01,816,371,0.000975667201038366,1.0843589261284956,0.13910284387081495,False,False,0.0009517387457010917,2.395125067056192e-05,-6.260392870034368e-08,1.7085110429741757e-05,0.0026137436461736324,0.0026138062501023327,0.002616296280642854
9-Dec,1995-01-01,816,371,0.0006782079423476306,1.0681610096622185,0.1427239446388444,False,False,0.0007187548100516805,-4.0576031922201494e-05,8.818861232983213e-08,2.2146461529162775e-06,0.0021735045665129873,0.0021734163779006574,0.0021749796549894456
Hi 10,1995-01-01,816,371,0.0005315033466900543,0.4029126507293765,0.3435062422161008,False,False,0.00026270928251970194,0.00026886469742215535,-5.112739858133351e-07,-6.29393309736076e-06,0.0019010919886049012,0.0019016032625907146,0.001902102962695323
Lo 30,2000-01-01,876,311,-0.00030857736728728824,0.23793649944914091,0.40596517292408785,False,False,0.0006118770510605831,-0.0009210179681062858,3.832685412930026e-06,8.215522577550288e-05,0.004165190602035064,0.004161357916622134,0.004163905714971905
Med 40,2000-01-01,876,311,-0.0008421016176758389,-0.16296077249444302,0.5647253396257501,False,False,0.000751806838297786,-0.0015951076688267563,4.998146108107365e-06,4.781989538476389e-05,0.0031384205512448955,0.003133422405136788,0.0031357799059134506
Hi 30,2000-01-01,876,311,0.0013661555354581578,0.7968450420765989,0.21277051610304065,False,False,0.0008763262699571506,0.0004902588922474083,-9.519974147928056e-07,-1.2367030950810598e-05,0.0019408739028331729,0.0019418259002479657,0.0019435290658247732
Lo 20,2000-01-01,876,311,0.0008676111215371041,0.5065870355545855,0.30622230338469103,False,False,0.00040943943391091864,0.00045835935802218675,-2.0074907196151667e-06,2.8555646391807687e-05,0.004377723575047692,0.004379731065767307,0.004381525034897262
Qnt 2,2000-01-01,876,311,-0.002053410224970964,-0.3037048321857152,0.6193236118771973,False,False,0.0006057652169043637,-0.0026607872542434574,1.024859987456021e-05,9.414546687270403e-05,0.003861965740437127,0.003851717140562567,0.0038540517910817525
Qnt 3,2000-01-01,876,311,-0.0015474943209268233,-0.40668464660500686,0.6578801907945584,False,False,0.0006355111285795134,-0.002184393655983774,6.9970207195583535e-06,7.541386688390828e-05,0.0032101837267378966,0.003203186706018338,0.0032052236613246965
