portfolio,mean_OOS_R2_regime,mean_OOS_R2_static,mean_incremental_OOS_R2,mean_MSFE_stat,mean_MSFE_pvalue,frac_MSFE_sig_10pct,frac_MSFE_sig_5pct,mean_delta_mse,mean_delta_mae,n_splits,beta_SMB
Lo 10,0.004248491565005841,-0.00012593084318768266,0.004374837819508648,1.0091654767153206,0.17925005279238423,0.3333333333333333,0.0,-1.6254760172664088e-05,4.2820073495726994e-05,3,1.542456624618895
Lo 20,0.00272698316911002,0.0006318987640357987,0.002096723462399197,0.8703745436907339,0.21271989610744427,0.3333333333333333,0.0,-8.064983935892155e-06,1.496343685807496e-05,3,1.3562563093858255
2-Dec,0.0018043880993653394,0.0008177746204828992,0.0009875828227806267,0.7059631002757332,0.2563712898648872,0.0,0.0,-3.945609741495421e-06,5.540072915363736e-05,3,1.2629037042686946
Lo 30,0.0013252144643692472,0.0007719315186122492,0.0005539059916832197,0.6140643987611255,0.28873518179355545,0.0,0.0,-1.791377289028697e-06,4.871650580953272e-05,3,1.1876932532741722
3-Dec,-0.00019463938405339665,0.0008431314880289476,-0.001038563434198947,0.2304852018197754,0.4222296056554778,0.0,0.0,4.284432565565052e-06,7.810360527445391e-05,3,1.0164815120225348
Qnt 2,-0.00024394973032256426,0.0007632232799209548,-0.0010077206607461697,0.22726982257462666,0.42769570535464324,0.0,0.0,3.991711552335057e-06,6.466767114963329e-05,3,0.9513237467659776
4-Dec,-0.0003404213015838116,0.0006871433342034253,-0.0010279305941319021,0.20962050591585127,0.43656504084147824,0.0,0.0,3.986660954260022e-06,7.206340848568693e-05,3,0.9075847663370554
5-Dec,-0.00033423714160592716,0.0007954390504939512,-0.0011304931571768744,0.11309805246175597,0.46158828811393143,0.0,0.0,4.0386616080733484e-06,4.331967786484758e-05,3,0.7255344127058114
Qnt 3,-0.0003065967374913381,0.0007734977062015721,-0.001080849299575563,0.0981199978903682,0.46923404168319854,0.0,0.0,3.434936638507715e-06,4.80893341528732e-05,3,0.6008514513978778
Med 40,0.00031101041833551485,0.0008443493629916773,-0.0005337962462798421,0.3186264495488547,0.38707622956287313,0.0,0.0,1.6815771242986316e-06,2.8136185686482757e-05,3,0.5702017387563818
6-Dec,-0.0002279987844092668,0.0007669091539138639,-0.000995599986249207,0.10406215610882415,0.46785856324779695,0.0,0.0,2.9566930035412656e-06,3.710054641309357e-05,3,0.5106675480522417
7-Dec,0.0010214678038474867,0.0008266242535871493,0.0001949371584513878,0.6726636128195914,0.2568200062716109,0.0,0.0,-5.312066217994712e-07,7.774880188241481e-06,3,0.4137035629069396
Qnt 4,0.0007798733702916912,0.0007722807780149443,7.526105294160719e-06,0.6157193927856914,0.27282845161599845,0.0,0.0,1.9064791393000092e-08,2.426620177625044e-05,3,0.3028259937020238
8-Dec,0.0006615054675350729,0.0007201899706335002,-5.878369072620515e-05,0.6480319650103684,0.2694879776774627,0.0,0.0,1.8050593798531536e-07,1.462350772236017e-05,3,0.2392802631341151
9-Dec,0.0005740107450596202,0.0005963185316267087,-2.234242652961645e-05,0.7173233340729799,0.2512151836838837,0.0,0.0,5.307792985325665e-08,2.421655040658425e-06,3,0.0715287750659481
Hi 30,0.0001732618000925464,-9.576090986351815e-05,0.000269109123865426,0.15003273077225984,0.4408309644551787,0.0,0.0,-5.127070438156056e-07,-9.03021562270965e-06,3,-0.1307607853827807
Hi 20,0.00017351532611442622,-0.00018566739955694356,0.00035926389317823365,0.12332492563275026,0.4495030501896125,0.0,0.0,-6.743702109630734e-07,-8.434531384595342e-06,3,-0.1654221806911052
Hi 10,0.00015070168820604155,-0.0003505648160578856,0.0005012673822488342,0.092478418353045,0.4585642568908285,0.0,0.0,-9.357200892226378e-07,-1.1677408093322314e-05,3,-0.2145060203942534
