portfolio,split_date,delta_mse,oos_r2,cw_stat,cw_pval,cw_sig_5pct
<= 0,1995-01-01,1.602649863977978e-08,-0.0037827501816325437,-10.995240729781466,1.0,False
<= 0,2000-01-01,2.4623093100451716e-08,-0.004883034442266343,-15.992044193847683,1.0,False
<= 0,2010-01-01,2.097599431631116e-08,-0.003511788609891431,-11.200596865606142,1.0,False
Lo 30,1995-01-01,-2.1885166812626346e-05,0.005941004285106133,1.4477194014275219,0.07384777083158811,False
Lo 30,2000-01-01,-1.729841997695448e-05,0.004530360448846027,1.1965575450262558,0.11573952827198708,False
Lo 30,2010-01-01,-3.4184333700034656e-05,0.009293620648186174,1.8012191511588973,0.035834172493889094,True
Med 40,1995-01-01,-3.1578447850268143e-06,0.0011402134807769748,0.6548479595024552,0.25628282440127415,False
Med 40,2000-01-01,-3.065320981024758e-06,0.0010792607965337542,0.5869642239718619,0.2786138672724713,False
Med 40,2010-01-01,-5.162216470306919e-06,0.0017254207298438295,0.8948448132402228,0.18543502549496282,False
Hi 30,1995-01-01,-1.6924107757059544e-06,0.0009680822954976076,1.2923748008885112,0.09811368951588584,False
Hi 30,2000-01-01,-3.305263887604798e-07,0.00019019930681363206,0.28155421644767464,0.38914267518555035,False
Hi 30,2010-01-01,-1.59270825865151e-06,0.0008979218248195142,1.2810783521298525,0.10008307334909827,False
Lo 20,1995-01-01,-3.380884721146827e-05,0.008720386202368258,1.7279953300579207,0.04199453081378712,True
Lo 20,2000-01-01,-2.7850656956339426e-05,0.006891079008423007,1.4985495832380766,0.06699526019335811,False
Lo 20,2010-01-01,-5.127630587613589e-05,0.013577358428300323,1.9113689438856216,0.027978592392164936,True
Qnt 2,1995-01-01,-1.2900219888566707e-05,0.0037453790240677964,1.2145285303390265,0.11227298095429095,False
Qnt 2,2000-01-01,-1.0004155659014413e-05,0.0028367170714589385,0.9635310691923176,0.16764054008318352,False
Qnt 2,2010-01-01,-1.8289718374009476e-05,0.005185233084726848,1.5547312393745274,0.06000504564580644,False
Qnt 3,1995-01-01,-4.7745067041950195e-06,0.0016691351312851932,0.8451346903137116,0.19901782079332786,False
Qnt 3,2000-01-01,-4.417459317142096e-06,0.0015156533917684012,0.7275483721722817,0.23344504710581337,False
Qnt 3,2010-01-01,-5.913362432007768e-06,0.0019221952073203985,0.9642411148134028,0.16746252781164417,False
Qnt 4,1995-01-01,-3.833110840669937e-08,1.59904540925071e-05,0.14235710147040803,0.4433989726415445,False
Qnt 4,2000-01-01,-2.156424734850275e-07,8.770705749117091e-05,0.17405426320362205,0.4309114085675343,False
Qnt 4,2010-01-01,-2.7087298036217525e-07,0.0001080496180733137,0.16311648991640304,0.4352133583027513,False
Hi 20,1995-01-01,-2.3210675832296013e-06,0.0013370031457435871,1.4182068812416173,0.07806518674111262,False
Hi 20,2000-01-01,-4.366897061842349e-07,0.00025423537644742034,0.30932831597960614,0.37853589671635757,False
Hi 20,2010-01-01,-2.1247723216686904e-06,0.0012132326920020198,1.3687296737711758,0.08554189553090763,False
Lo 10,1995-01-01,-5.359764451944287e-05,0.014353159979660024,2.2408158881840357,0.012519001677847474,True
Lo 10,2000-01-01,-4.177250989271207e-05,0.010732215622184182,1.8896151357455646,0.029404725694690992,True
Lo 10,2010-01-01,-7.024764674654288e-05,0.019764570453799868,2.4281248397157023,0.0075885590306682404,True
2-Dec,1995-01-01,-2.5181488982969555e-05,0.0060311794924334805,1.4396173349213128,0.07498784623879762,False
2-Dec,2000-01-01,-2.300247930569002e-05,0.005310180991507929,1.329061225018469,0.091913885738926,False
2-Dec,2010-01-01,-4.246801579730567e-05,0.010339177055506465,1.6502582207212808,0.049445066736081955,True
3-Dec,1995-01-01,-1.2030804304617379e-05,0.003342544109133483,1.112255982782041,0.13301405183715076,False
3-Dec,2000-01-01,-8.511868539472656e-06,0.0023054879305961506,0.8404267992007477,0.20033456419514983,False
3-Dec,2010-01-01,-2.0943278585001685e-05,0.005645906165570591,1.5428328843118357,0.06143566424914593,False
4-Dec,1995-01-01,-1.3635676024251458e-05,0.0040199887968166426,1.291932418504796,0.0981902748521879,False
4-Dec,2000-01-01,-1.1122922971651059e-05,0.003205120170485576,1.0592835316357592,0.14473533634724034,False
4-Dec,2010-01-01,-1.6663073507575555e-05,0.004807889459933823,1.5464473392519877,0.060998284403437464,False
5-Dec,1995-01-01,-4.820024896904848e-06,0.0015168611294295031,0.7505591720828391,0.22645900004467256,False
5-Dec,2000-01-01,-4.46470186984179e-06,0.0013800881250625174,0.6588422952425933,0.2549985220922224,False
5-Dec,2010-01-01,-7.076659622884483e-06,0.002109682394184853,0.9493757010267547,0.1712147821497466,False
6-Dec,1995-01-01,-4.413438989870049e-06,0.0016397768408046298,0.8910766461564408,0.18644402637452484,False
6-Dec,2000-01-01,-4.098459151667764e-06,0.0014961051696678052,0.7596245647761837,0.223739515673128,False
6-Dec,2010-01-01,-4.986249015894503e-06,0.0017048222793615286,0.9527210193501001,0.17036572027559393,False
7-Dec,1995-01-01,4.1508228459941066e-07,-0.00016227336238205936,0.12268282761019643,0.45117913135616683,False
7-Dec,2000-01-01,-2.677287865970185e-07,0.00010147896019629954,0.21471116319735828,0.41499625929322304,False
7-Dec,2010-01-01,-2.0102434257840765e-06,0.0007104131760741206,0.5193128990345666,0.3017712798519412,False
8-Dec,1995-01-01,-1.4451551130735193e-07,6.141407090076711e-05,0.15072816284455526,0.44009507814995175,False
8-Dec,2000-01-01,-1.1648419953906239e-07,4.846243375777881e-05,0.12884287538855652,0.448740989299552,False
8-Dec,2010-01-01,3.962686423680632e-07,-0.00016695476914097007,-0.08952430305137524,0.535667379957777,False
9-Dec,1995-01-01,3.9245118207986186e-07,-0.000207039640923945,-0.7764295671881122,0.7812523037560991,False
9-Dec,2000-01-01,1.441247496872418e-07,-7.553804862969749e-05,-0.2817771001944575,0.610942784437041,False
9-Dec,2010-01-01,2.8805578030158263e-07,-0.00014143940174426994,-0.43638810902264175,0.6687224175704024,False
Hi 10,1995-01-01,-3.171175786381925e-06,0.001801650229547369,1.5044731940984168,0.06622978519012357,False
Hi 10,2000-01-01,-4.601299815922e-07,0.000265146313559117,0.2889588623371709,0.3863064291831524,False
Hi 10,2010-01-01,-3.011007983194647e-06,0.0017267374777385491,1.512503299569051,0.06520293693876245,False
