portfolio,split_date,delta_mse,oos_r2,cw_stat,cw_pval,cw_sig_5pct
<= 0,rolling,-5.135257180092392e-09,0.0017056497621703581,,,False
Lo 30,rolling,5.608088180681682e-05,-0.012620047506073373,,,False
Med 40,rolling,1.9499262329790348e-05,-0.0061044671238841275,,,False
Hi 30,rolling,-2.9141806834600756e-06,0.0014853139085772016,,,False
Lo 20,rolling,6.358052302349142e-05,-0.012638363651416684,,,False
Qnt 2,rolling,3.64266388575246e-05,-0.009407141244477835,,,False
Qnt 3,rolling,2.0675503593542248e-05,-0.0063809754755290715,,,False
Qnt 4,rolling,9.042678414603478e-06,-0.0032823027027877316,,,False
Hi 20,rolling,-3.3888634493844765e-06,0.001755882530482089,,,False
Lo 10,rolling,7.236708792178904e-05,-0.012252906634093952,,,False
2-Dec,rolling,5.2727804311184304e-05,-0.010829617064943564,,,False
3-Dec,rolling,4.125885570410888e-05,-0.010072588785845271,,,False
4-Dec,rolling,3.301269001807893e-05,-0.008743048766938877,,,False
5-Dec,rolling,2.230018425258525e-05,-0.006328888326835536,,,False
6-Dec,rolling,1.9632497433983223e-05,-0.006349518146932187,,,False
7-Dec,rolling,1.3385393425587554e-05,-0.004392842229971938,,,False
8-Dec,rolling,6.725035037995035e-06,-0.002551643019467642,,,False
9-Dec,rolling,1.2765519213655228e-06,-0.0005429602082034357,,,False
Hi 10,rolling,-3.889286151181502e-06,0.0020541878596446184,,,False
